01-08-2024 12:08:14 root:INFO:epoch:27, train_loss:1.67281468748115e-05, test_loss:2.4512908566975966e-05
01-08-2024 12:08:43 root:INFO:epoch:28, train_loss:1.659528788877651e-05, test_loss:2.5447787265875377e-05
01-09-2024 12:09:13 root:INFO:epoch:29, train_loss:1.6374986444134265e-05, test_loss:2.7184032660443336e-05
01-09-2024 12:09:42 root:INFO:epoch:30, train_loss:1.6177978977793828e-05, test_loss:2.7408310415921733e-05
01-10-2024 12:10:12 root:INFO:epoch:31, train_loss:1.6030098777264357e-05, test_loss:1.9009165043826215e-05
01-10-2024 12:10:40 root:INFO:epoch:32, train_loss:1.597576010681223e-05, test_loss:2.7185706130694598e-05
01-11-2024 12:11:07 root:INFO:epoch:33, train_loss:1.572349174239207e-05, test_loss:2.507273165974766e-05
01-11-2024 12:11:33 root:INFO:epoch:34, train_loss:1.5536279533989727e-05, test_loss:2.404960287094582e-05
01-11-2024 12:11:59 root:INFO:epoch:35, train_loss:1.539486038382165e-05, test_loss:1.80627939698752e-05
01-12-2024 12:12:23 root:INFO:epoch:36, train_loss:1.5240846551023424e-05, test_loss:2.6714000341598876e-05
01-12-2024 12:12:47 root:INFO:epoch:37, train_loss:1.5163534044404514e-05, test_loss:2.2072381398174912e-05
01-13-2024 12:13:12 root:INFO:epoch:38, train_loss:1.5035271644592285e-05, test_loss:2.970898822240997e-05
01-13-2024 12:13:38 root:INFO:epoch:39, train_loss:1.4964623915147968e-05, test_loss:2.3315764337894507e-05
01-14-2024 12:14:04 root:INFO:epoch:40, train_loss:1.4844199540675618e-05, test_loss:2.349240821786225e-05
01-14-2024 12:14:30 root:INFO:epoch:41, train_loss:1.4712037227582186e-05, test_loss:2.4289331122417934e-05
01-14-2024 12:14:56 root:INFO:epoch:42, train_loss:1.4604141142626759e-05, test_loss:2.3998041797312908e-05
01-15-2024 12:15:22 root:INFO:epoch:43, train_loss:1.4495211871690117e-05, test_loss:1.968386277440004e-05
01-15-2024 12:15:50 root:INFO:epoch:44, train_loss:1.4416674275707919e-05, test_loss:2.2869868189445697e-05
01-16-2024 12:16:18 root:INFO:epoch:45, train_loss:1.4267864571593236e-05, test_loss:2.5532413928885944e-05
01-16-2024 12:16:46 root:INFO:epoch:46, train_loss:1.4136498975858558e-05, test_loss:2.1622505300911143e-05
01-17-2024 12:17:13 root:INFO:epoch:47, train_loss:1.4068941709410865e-05, test_loss:2.276895975228399e-05
01-17-2024 12:17:39 root:INFO:epoch:48, train_loss:1.4081272638577502e-05, test_loss:2.1069185095257126e-05
01-18-2024 12:18:04 root:INFO:epoch:49, train_loss:1.3932964975538198e-05, test_loss:2.0636689441744238e-05
01-18-2024 12:18:29 root:INFO:epoch:50, train_loss:1.3800151464238297e-05, test_loss:2.2575961338588968e-05
01-18-2024 12:18:53 root:INFO:epoch:51, train_loss:1.363126102660317e-05, test_loss:2.6556646844255738e-05
01-19-2024 12:19:18 root:INFO:epoch:52, train_loss:1.3600102647615131e-05, test_loss:1.9027325834031217e-05
01-19-2024 12:19:44 root:INFO:epoch:53, train_loss:1.3565375411417335e-05, test_loss:2.1058413040009327e-05
01-20-2024 12:20:10 root:INFO:epoch:54, train_loss:1.350000729871681e-05, test_loss:1.780047568900045e-05
01-20-2024 12:20:36 root:INFO:epoch:55, train_loss:1.3459950423566625e-05, test_loss:2.1021103748353198e-05
01-21-2024 12:21:03 root:INFO:epoch:56, train_loss:1.338234324066434e-05, test_loss:2.173115535697434e-05
01-21-2024 12:21:31 root:INFO:epoch:57, train_loss:1.3368034160521347e-05, test_loss:2.331547875655815e-05
01-21-2024 12:21:59 root:INFO:epoch:58, train_loss:1.3215526450949255e-05, test_loss:2.161891825380735e-05
01-22-2024 12:22:28 root:INFO:epoch:59, train_loss:1.3119993127475027e-05, test_loss:2.049885006272234e-05
01-22-2024 12:22:56 root:INFO:epoch:60, train_loss:1.3178184417483862e-05, test_loss:1.798805533326231e-05
01-23-2024 12:23:23 root:INFO:epoch:61, train_loss:1.3017183846386615e-05, test_loss:2.2976480977376923e-05
01-23-2024 12:23:48 root:INFO:epoch:62, train_loss:1.2950414202350657e-05, test_loss:2.316957397852093e-05
01-24-2024 12:24:14 root:INFO:epoch:63, train_loss:1.2876045730081387e-05, test_loss:2.1015168385929428e-05
01-24-2024 12:24:38 root:INFO:epoch:64, train_loss:1.2817275091947522e-05, test_loss:2.229274650744628e-05
01-25-2024 12:25:01 root:INFO:epoch:65, train_loss:1.2722358405881096e-05, test_loss:2.0189807401038706e-05
01-25-2024 12:25:26 root:INFO:epoch:66, train_loss:1.2732494724332355e-05, test_loss:2.4084398319246247e-05
01-25-2024 12:25:50 root:INFO:epoch:67, train_loss:1.2672507182287518e-05, test_loss:2.1301153537933715e-05
01-26-2024 12:26:15 root:INFO:epoch:68, train_loss:1.2619608241948299e-05, test_loss:2.0301180484239012e-05
01-26-2024 12:26:40 root:INFO:epoch:69, train_loss:1.2598385183082428e-05, test_loss:1.5473011444555596e-05
01-27-2024 12:27:06 root:INFO:epoch:70, train_loss:1.2557454283523839e-05, test_loss:2.334587770747021e-05
01-27-2024 12:27:33 root:INFO:epoch:71, train_loss:1.2413280273904093e-05, test_loss:1.9885275833075866e-05
01-27-2024 12:27:59 root:INFO:epoch:72, train_loss:1.244232407771051e-05, test_loss:2.03129220608389e-05
01-28-2024 12:28:27 root:INFO:epoch:73, train_loss:1.2330742720223498e-05, test_loss:2.2848706066724844e-05
01-28-2024 12:28:55 root:INFO:epoch:74, train_loss:1.2338865417405032e-05, test_loss:1.8413742509437725e-05
01-29-2024 12:29:24 root:INFO:epoch:75, train_loss:1.223323488375172e-05, test_loss:2.0384897652547807e-05
01-29-2024 12:29:53 root:INFO:epoch:76, train_loss:1.2198861440992914e-05, test_loss:2.0086583390366286e-05
01-30-2024 12:30:19 root:INFO:epoch:77, train_loss:1.2087438335584011e-05, test_loss:1.906323086586781e-05
